Theme,Topic,polarity,word
Recognition,Availability,positive,agreeable
Recognition,Availability,positive,benign
Recognition,Availability,positive,encouraging
Recognition,Availability,positive,positive
Recognition,Availability,positive,supportive
Recognition,Availability,positive,sympathetic
Recognition,Availability,positive,acclamatory
Recognition,Availability,positive,affirmative
Recognition,Availability,positive,amicable
Recognition,Availability,positive,approbative
Recognition,Availability,positive,approbatory
Recognition,Availability,positive,assenting
Recognition,Availability,positive,benevolent
Recognition,Availability,positive,benignant
Recognition,Availability,positive,commending
Recognition,Availability,positive,complimentary
Recognition,Availability,positive,enthusiastic
Recognition,Availability,positive,in favor of
Recognition,Availability,positive,inclined
Recognition,Availability,positive,kind
Recognition,Availability,positive,kindly
Recognition,Availability,positive,laudatory
Recognition,Availability,positive,okay
Recognition,Availability,positive,praiseful
Recognition,Availability,positive,predisposed
Recognition,Availability,positive,reassuring
Recognition,Availability,positive,recommendatory
Recognition,Availability,positive,understanding
Recognition,Availability,positive,opportunity
Recognition,Availability,positive,show
Recognition,Availability,positive,time
Recognition,Availability,positive,connection
Recognition,Availability,positive,cut
Recognition,Availability,positive,fling
Recognition,Availability,positive,go
Recognition,Availability,positive,occasion
Recognition,Availability,positive,place
Recognition,Availability,positive,possibility
Recognition,Availability,positive,run
Recognition,Availability,positive,scope
Recognition,Availability,positive,shot
Recognition,Availability,positive,squeak
Recognition,Availability,positive,vacancy
Recognition,Availability,positive,whack
Recognition,Availability,positive,big break
Recognition,Availability,positive,go-at
Recognition,Availability,positive,in the running
Recognition,Availability,positive,iron in the fire
Recognition,Availability,positive,availability
Recognition,Availability,positive,look-in
Recognition,Availability,positive,attainable
Recognition,Availability,positive,available
Recognition,Availability,positive,door's always open
Recognition,Availability,positive,employable
Recognition,Availability,positive,exposed
Recognition,Availability,positive,getatable
Recognition,Availability,positive,handy
Recognition,Availability,positive,near
Recognition,Availability,positive,obtainable
Recognition,Availability,positive,open
Recognition,Availability,positive,operative
Recognition,Availability,positive,possible
Recognition,Availability,positive,practicable
Recognition,Availability,positive,public
Recognition,Availability,positive,reachable
Recognition,Availability,positive,susceptible
Recognition,Availability,positive,unrestricted
Recognition,Availability,positive,usable
Recognition,Availability,positive,accessible
Recognition,Availability,positive,accomplishable
Recognition,Availability,positive,at hand
Recognition,Availability,positive,cherry pie
Recognition,Availability,positive,duck soup
Recognition,Availability,positive,easy
Recognition,Availability,positive,feasible
Recognition,Availability,positive,gettable
Recognition,Availability,positive,likely
Recognition,Availability,positive,no problem
Recognition,Availability,positive,no sweat
Recognition,Availability,positive,piece of cake
Recognition,Availability,positive,potential
Recognition,Availability,positive,probable
Recognition,Availability,positive,procurable
Recognition,Availability,positive,realizable
Recognition,Availability,positive,securable
Recognition,Availability,positive,acceptable
Recognition,Availability,positive,accommodating
Recognition,Availability,positive,adaptable
Recognition,Availability,positive,adapted
Recognition,Availability,positive,advantageous
Recognition,Availability,positive,aiding
Recognition,Availability,positive,assisting
Recognition,Availability,positive,beneficial
Recognition,Availability,positive,comfortable
Recognition,Availability,positive,commodious
Recognition,Availability,positive,conducive
Recognition,Availability,positive,contributive
Recognition,Availability,positive,decent
Recognition,Availability,positive,favorable
Recognition,Availability,positive,fit
Recognition,Availability,positive,fitted
Recognition,Availability,positive,good
Recognition,Availability,positive,helpful
Recognition,Availability,positive,in public interest
Recognition,Availability,positive,opportune
Recognition,Availability,positive,proper
Recognition,Availability,positive,ready
Recognition,Availability,positive,roomy
Recognition,Availability,positive,seasonable
